phase,method,optimizerSeed,actualRunIndex,scenarioId,scenarioHash,config,seed,horizon,ticks,completedOrders,unfinishedOrders,throughput,meanDelay,maxDelay,oldestUnfinishedAge,waitingRatio,stationUtilization,stalledTicks,runtimeMs,planningMs,kernelVersion,codeVersion,stateHash,status,error
training,random,7,1,sustained-production,20e2cc13,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,600,600,47,74,0.07833333333333334,187.7659574468085,351,365,0.22180555555555556,"{""assembly-1"":0.375,""assembly-2"":0.3,""assembly-3"":0.06,""press-1"":0.3333333333333333,""press-2"":0.44166666666666665,""press-3"":0.10833333333333334}",0,2829.943916,2482.369007999999,1.1.0,40aaab7,801c4598,completed,
training,random,7,2,sustained-production,20e2cc13,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,600,600,67,54,0.11166666666666666,176.59701492537314,280,264,0.0015277777777777779,"{""assembly-1"":0.375,""assembly-2"":0.36,""assembly-3"":0.3616666666666667,""press-1"":0.43833333333333335,""press-2"":0.43666666666666665,""press-3"":0.4666666666666667}",0,4927.830334,4442.502107000006,1.1.0,40aaab7,24304887,completed,
training,random,7,3,sustained-production,20e2cc13,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,600,600,45,76,0.075,234.84444444444443,377,375,0.04902777777777778,"{""assembly-1"":0.375,""assembly-2"":0.255,""assembly-3"":0.09,""press-1"":0.4583333333333333,""press-2"":0.3233333333333333,""press-3"":0.08333333333333333}",0,6562.799542000001,6024.461952000016,1.1.0,40aaab7,c275d6a4,completed,
training,random,7,4,sustained-production,20e2cc13,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.64911044947803,""planningWindow"":11,""replanInterval"":2}",11,600,600,52,69,0.08666666666666667,206.15384615384616,341,339,0.002361111111111111,"{""assembly-1"":0.42,""assembly-2"":0.315,""assembly-3"":0.075,""press-1"":0.475,""press-2"":0.38166666666666665,""press-3"":0.11666666666666667}",0,2774.950249999998,2450.5682759999927,1.1.0,40aaab7,5fedae98,completed,
training,ga,7,1,sustained-production,20e2cc13,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""distance"",""congestionWeight"":0,""planningWindow"":12,""replanInterval"":3}",11,600,600,47,74,0.07833333333333334,187.7659574468085,351,365,0.22180555555555556,"{""assembly-1"":0.375,""assembly-2"":0.3,""assembly-3"":0.06,""press-1"":0.3333333333333333,""press-2"":0.44166666666666665,""press-3"":0.10833333333333334}",0,2697.089791999999,2388.473504000034,1.1.0,40aaab7,801c4598,completed,
training,ga,7,2,sustained-production,20e2cc13,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":1.5,""planningWindow"":16,""replanInterval"":2}",11,600,600,67,54,0.11166666666666666,176.59701492537314,280,264,0.0015277777777777779,"{""assembly-1"":0.375,""assembly-2"":0.36,""assembly-3"":0.3616666666666667,""press-1"":0.43833333333333335,""press-2"":0.43666666666666665,""press-3"":0.4666666666666667}",0,4893.220958999998,4421.314785000006,1.1.0,40aaab7,24304887,completed,
training,ga,7,3,sustained-production,20e2cc13,"{""assignment"":""nearest"",""priority"":""fixed"",""routing"":""congestion"",""congestionWeight"":3.495143528562039,""planningWindow"":19,""replanInterval"":4}",11,600,600,45,76,0.075,234.84444444444443,377,375,0.04902777777777778,"{""assembly-1"":0.375,""assembly-2"":0.255,""assembly-3"":0.09,""press-1"":0.4583333333333333,""press-2"":0.3233333333333333,""press-3"":0.08333333333333333}",0,6652.822499999998,6113.098999000009,1.1.0,40aaab7,c275d6a4,completed,
training,ga,7,4,sustained-production,20e2cc13,"{""assignment"":""earliest"",""priority"":""waiting"",""routing"":""congestion"",""congestionWeight"":0.6091434651752934,""planningWindow"":14,""replanInterval"":2}",11,600,600,66,55,0.11,176.92424242424244,272,270,0.0016666666666666668,"{""assembly-1"":0.37,""assembly-2"":0.36,""assembly-3"":0.345,""press-1"":0.43333333333333335,""press-2"":0.435,""press-3"":0.4483333333333333}",0,3594.372958,3190.229118000123,1.1.0,40aaab7,1b3f8f1c,completed,
